,_id,ask,bid,expiration,impliedvolatility,lastprice,lasttradedate,openinterest,quotetime,ticker,strike,contractsymbol,type,underlying_price,updatedate,update_datetime,update_hour,updatetime,volume
197,SPY190329C00225000_20190204_10,46.43,46.13,2019-03-29,0.3232489551,40.6,2019-01-30 15:18:28,9.0,2019-02-04T16:25:03.000Z,SPY,225.0,SPY190329C00225000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
198,SPY190329C00226000_20190204_10,45.48,45.15,2019-03-29,0.3209296423,42.58,2018-12-13 14:49:24,18.0,2019-02-04T16:25:03.000Z,SPY,226.0,SPY190329C00226000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
199,SPY190329C00227000_20190204_10,44.57,44.26,2019-03-29,0.3212958496,43.18,2019-01-31 16:06:35,5.0,2019-02-04T16:25:03.000Z,SPY,227.0,SPY190329C00227000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
200,SPY190329C00228000_20190204_10,43.47,43.22,2019-03-29,0.3077461804,27.45,2019-01-04 17:17:33,3.0,2019-02-04T16:25:03.000Z,SPY,228.0,SPY190329C00228000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
201,SPY190329C00229000_20190204_10,42.62,42.31,2019-03-29,0.3121406677,32.5,2019-01-09 17:49:28,14.0,2019-02-04T16:25:03.000Z,SPY,229.0,SPY190329C00229000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
202,SPY190329C00230000_20190204_10,41.44,41.19,2019-03-29,0.2932199585,41.64,2019-02-01 16:47:47,91.0,2019-02-04T16:25:03.000Z,SPY,230.0,SPY190329C00230000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,9.0
203,SPY190329C00231000_20190204_10,40.62,40.33,2019-03-29,0.2995675513,30.72,2019-01-15 16:27:37,98.0,2019-02-04T16:25:03.000Z,SPY,231.0,SPY190329C00231000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
204,SPY190329C00232000_20190204_10,39.56,39.28,2019-03-29,0.2891916785,28.0,2019-01-08 21:02:12,33.0,2019-02-04T16:25:03.000Z,SPY,232.0,SPY190329C00232000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
205,SPY190329C00233000_20190204_10,38.56,38.28,2019-03-29,0.2829661548,21.15,2018-12-21 14:38:03,7.0,2019-02-04T16:25:03.000Z,SPY,233.0,SPY190329C00233000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
206,SPY190329C00234000_20190204_10,37.61,37.3,2019-03-29,0.2799144275,36.79,2019-02-01 20:32:35,71.0,2019-02-04T16:25:03.000Z,SPY,234.0,SPY190329C00234000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
208,SPY190329C00235000_20190204_10,36.66,36.35,2019-03-29,0.2767406311,35.51,2019-01-31 20:11:09,280.0,2019-02-04T16:25:03.000Z,SPY,235.0,SPY190329C00235000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
209,SPY190329C00236000_20190204_10,35.66,35.35,2019-03-29,0.2703930383,35.31,2019-02-01 16:03:54,12.0,2019-02-04T16:25:03.000Z,SPY,236.0,SPY190329C00236000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
210,SPY190329C00237000_20190204_10,34.8,34.48,2019-03-29,0.2723461438,24.43,2019-01-09 14:30:02,10.0,2019-02-04T16:25:03.000Z,SPY,237.0,SPY190329C00237000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
212,SPY190329C00238000_20190204_10,33.72,33.43,2019-03-29,0.2612378564,32.65,2019-01-31 20:11:09,91.0,2019-02-04T16:25:03.000Z,SPY,238.0,SPY190329C00238000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
214,SPY190329C00239000_20190204_10,32.76,32.45,2019-03-29,0.2570875073,31.97,2019-01-31 17:44:22,102.0,2019-02-04T16:25:03.000Z,SPY,239.0,SPY190329C00239000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
216,SPY190329C00240000_20190204_10,31.81,31.5,2019-03-29,0.2534254346,30.79,2019-02-01 19:56:24,300.0,2019-02-04T16:25:03.000Z,SPY,240.0,SPY190329C00240000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,6.0
217,SPY190329C00241000_20190204_10,30.82,30.51,2019-03-29,0.2474440491,29.93,2019-01-31 18:01:35,207.0,2019-02-04T16:25:03.000Z,SPY,241.0,SPY190329C00241000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
218,SPY190329C00242000_20190204_10,29.88,29.59,2019-03-29,0.2440261145,25.99,2019-01-17 18:11:31,74.0,2019-02-04T16:25:03.000Z,SPY,242.0,SPY190329C00242000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
220,SPY190329C00243000_20190204_10,28.93,28.61,2019-03-29,0.2399978345,28.67,2019-02-01 16:05:07,41.0,2019-02-04T16:25:03.000Z,SPY,243.0,SPY190329C00243000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
222,SPY190329C00244000_20190204_10,27.89,27.63,2019-03-29,0.231452998,25.4,2019-01-31 14:44:17,137.0,2019-02-04T16:25:03.000Z,SPY,244.0,SPY190329C00244000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
224,SPY190329C00245000_20190204_10,27.03,26.72,2019-03-29,0.2315750671,26.16,2019-02-04 15:25:44,797.0,2019-02-04T16:25:03.000Z,SPY,245.0,SPY190329C00245000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
226,SPY190329C00246000_20190204_10,26.02,25.74,2019-03-29,0.2243729907,19.99,2019-01-17 20:19:57,325.0,2019-02-04T16:25:03.000Z,SPY,246.0,SPY190329C00246000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
228,SPY190329C00247000_20190204_10,25.11,24.81,2019-03-29,0.2216874707,24.47,2019-02-01 19:32:13,1538.0,2019-02-04T16:25:03.000Z,SPY,247.0,SPY190329C00247000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
230,SPY190329C00248000_20190204_10,24.12,23.83,2019-03-29,0.2152178088,23.4,2019-02-01 20:08:22,790.0,2019-02-04T16:25:03.000Z,SPY,248.0,SPY190329C00248000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
232,SPY190329C00249000_20190204_10,23.2,22.94,2019-03-29,0.2117998743,20.04,2019-01-18 16:19:20,711.0,2019-02-04T16:25:03.000Z,SPY,249.0,SPY190329C00249000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
235,SPY190329C00250000_20190204_10,22.42,22.14,2019-03-29,0.2137529797,21.65,2019-02-01 20:18:51,1675.0,2019-02-04T16:25:03.000Z,SPY,250.0,SPY190329C00250000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,21.0
237,SPY190329C00251000_20190204_10,21.42,21.13,2019-03-29,0.2066119379,18.05,2019-01-30 17:53:42,509.0,2019-02-04T16:25:03.000Z,SPY,251.0,SPY190329C00251000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
240,SPY190329C00252000_20190204_10,20.49,20.22,2019-03-29,0.2020953815,18.47,2019-01-31 14:30:50,335.0,2019-02-04T16:25:03.000Z,SPY,252.0,SPY190329C00252000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
243,SPY190329C00253000_20190204_10,19.68,19.41,2019-03-29,0.2017902087,19.66,2019-01-31 20:57:06,388.0,2019-02-04T16:25:03.000Z,SPY,253.0,SPY190329C00253000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
246,SPY190329C00254000_20190204_10,18.77,18.49,2019-03-29,0.1975177905,19.39,2019-02-01 15:23:32,119.0,2019-02-04T16:25:03.000Z,SPY,254.0,SPY190329C00254000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
249,SPY190329C00255000_20190204_10,17.91,17.63,2019-03-29,0.1947102014,18.32,2019-02-01 16:54:58,925.0,2019-02-04T16:25:03.000Z,SPY,255.0,SPY190329C00255000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,17.0
252,SPY190329C00256000_20190204_10,16.93,16.7,2019-03-29,0.1876912286,16.41,2019-01-31 16:26:47,249.0,2019-02-04T16:25:03.000Z,SPY,256.0,SPY190329C00256000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
255,SPY190329C00257000_20190204_10,16.04,15.81,2019-03-29,0.183479845,15.86,2019-02-01 14:38:29,478.0,2019-02-04T16:25:03.000Z,SPY,257.0,SPY190329C00257000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
259,SPY190329C00258000_20190204_10,15.18,14.96,2019-03-29,0.1799398413,15.58,2019-02-01 16:52:13,656.0,2019-02-04T16:25:03.000Z,SPY,258.0,SPY190329C00258000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
261,SPY190329C00259000_20190204_10,14.33,14.12,2019-03-29,0.1763998376,14.86,2019-02-01 15:46:59,756.0,2019-02-04T16:25:03.000Z,SPY,259.0,SPY190329C00259000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
264,SPY190329C00260000_20190204_10,13.55,13.34,2019-03-29,0.1745688013,13.24,2019-02-01 19:11:38,2649.0,2019-02-04T16:25:03.000Z,SPY,260.0,SPY190329C00260000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,60.0
267,SPY190329C00261000_20190204_10,12.76,12.51,2019-03-29,0.1720663849,12.12,2019-01-31 16:01:16,988.0,2019-02-04T16:25:03.000Z,SPY,261.0,SPY190329C00261000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
270,SPY190329C00262000_20190204_10,11.82,11.62,2019-03-29,0.1649863776,11.42,2019-02-04 15:00:35,656.0,2019-02-04T16:25:03.000Z,SPY,262.0,SPY190329C00262000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
273,SPY190329C00263000_20190204_10,11.16,10.94,2019-03-29,0.165261033,11.17,2019-02-01 18:01:08,1669.0,2019-02-04T16:25:03.000Z,SPY,263.0,SPY190329C00263000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,27.0
276,SPY190329C00264000_20190204_10,10.36,10.14,2019-03-29,0.1612632703,10.43,2019-02-01 17:25:35,1647.0,2019-02-04T16:25:03.000Z,SPY,264.0,SPY190329C00264000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,51.0
279,SPY190329C00265000_20190204_10,9.6,9.39,2019-03-29,0.1579063702,9.28,2019-02-04 15:49:56,3792.0,2019-02-04T16:25:03.000Z,SPY,265.0,SPY190329C00265000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,36.0
282,SPY190329C00266000_20190204_10,8.86,8.69,2019-03-29,0.1546105048,8.72,2019-02-01 20:57:00,3408.0,2019-02-04T16:25:03.000Z,SPY,266.0,SPY190329C00266000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,46.0
285,SPY190329C00267000_20190204_10,8.07,7.91,2019-03-29,0.1495446375,7.53,2019-02-04 15:05:31,2553.0,2019-02-04T16:25:03.000Z,SPY,267.0,SPY190329C00267000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,34.0
288,SPY190329C00268000_20190204_10,7.32,7.24,2019-03-29,0.1450280811,7.65,2019-02-01 17:24:50,598.0,2019-02-04T16:25:03.000Z,SPY,268.0,SPY190329C00268000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,21.0
290,SPY190329C00269000_20190204_10,6.7,6.58,2019-03-29,0.1431360101,6.5,2019-02-04 14:46:15,1095.0,2019-02-04T16:25:03.000Z,SPY,269.0,SPY190329C00269000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,7.0
293,SPY190329C00270000_20190204_10,6.16,6.04,2019-03-29,0.1425256647,5.94,2019-02-04 15:53:15,12895.0,2019-02-04T16:25:03.000Z,SPY,270.0,SPY190329C00270000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,46.0
294,SPY190329C00271000_20190204_10,5.47,5.36,2019-03-29,0.1377039355,5.28,2019-02-04 15:12:29,4755.0,2019-02-04T16:25:03.000Z,SPY,271.0,SPY190329C00271000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,8.0
296,SPY190329C00272000_20190204_10,4.93,4.82,2019-03-29,0.1358118646,4.52,2019-02-04 15:09:43,3694.0,2019-02-04T16:25:03.000Z,SPY,272.0,SPY190329C00272000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
299,SPY190329C00273000_20190204_10,4.39,4.32,2019-03-29,0.1331873792,4.11,2019-02-04 15:27:03,1826.0,2019-02-04T16:25:03.000Z,SPY,273.0,SPY190329C00273000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,7.0
300,SPY190329C00274000_20190204_10,3.85,3.78,2019-03-29,0.1298304791,3.72,2019-02-04 15:48:47,1101.0,2019-02-04T16:25:03.000Z,SPY,274.0,SPY190329C00274000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
301,SPY190329C00275000_20190204_10,3.42,3.37,2019-03-29,0.1284266846,3.4,2019-02-04 16:03:28,4719.0,2019-02-04T16:25:03.000Z,SPY,275.0,SPY190329C00275000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,182.0
302,SPY190329C00276000_20190204_10,2.97,2.93,2019-03-29,0.1257411646,2.83,2019-02-04 15:21:11,911.0,2019-02-04T16:25:03.000Z,SPY,276.0,SPY190329C00276000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1019.0
303,SPY190329C00277000_20190204_10,2.55,2.51,2019-03-29,0.1229335754,2.58,2019-02-04 14:37:26,1874.0,2019-02-04T16:25:03.000Z,SPY,277.0,SPY190329C00277000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,443.0
305,SPY190329C00278000_20190204_10,2.17,2.14,2019-03-29,0.12030909,2.23,2019-02-04 14:36:47,2880.0,2019-02-04T16:25:03.000Z,SPY,278.0,SPY190329C00278000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,204.0
306,SPY190329C00279000_20190204_10,1.85,1.82,2019-03-29,0.118417019,1.81,2019-02-04 15:45:27,4135.0,2019-02-04T16:25:03.000Z,SPY,279.0,SPY190329C00279000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
307,SPY190329C00280000_20190204_10,1.6,1.55,2019-03-29,0.117745639,1.5,2019-02-04 15:40:04,19517.0,2019-02-04T16:25:03.000Z,SPY,280.0,SPY190329C00280000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,166.0
308,SPY190329C00281000_20190204_10,1.35,1.33,2019-03-29,0.1162197754,1.55,2019-02-01 18:30:52,5090.0,2019-02-04T16:25:03.000Z,SPY,281.0,SPY190329C00281000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
309,SPY190329C00282000_20190204_10,1.14,1.12,2019-03-29,0.1151821881,1.09,2019-02-04 15:48:47,3334.0,2019-02-04T16:25:03.000Z,SPY,282.0,SPY190329C00282000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,14.0
311,SPY190329C00283000_20190204_10,0.97,0.94,2019-03-29,0.1146939117,1.01,2019-02-04 14:50:50,3169.0,2019-02-04T16:25:03.000Z,SPY,283.0,SPY190329C00283000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,17.0
312,SPY190329C00284000_20190204_10,0.8,0.77,2019-03-29,0.1132901172,0.77,2019-02-04 15:48:20,1539.0,2019-02-04T16:25:03.000Z,SPY,284.0,SPY190329C00284000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
314,SPY190329C00285000_20190204_10,0.65,0.63,2019-03-29,0.1118252881,0.63,2019-02-04 15:46:13,7216.0,2019-02-04T16:25:03.000Z,SPY,285.0,SPY190329C00285000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,22.0
315,SPY190329C00286000_20190204_10,0.56,0.54,2019-03-29,0.1124356335,0.54,2019-02-04 16:05:37,1772.0,2019-02-04T16:25:03.000Z,SPY,286.0,SPY190329C00286000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,13.0
316,SPY190329C00287000_20190204_10,0.46,0.44,2019-03-29,0.111703219,0.64,2019-02-01 15:13:38,2728.0,2019-02-04T16:25:03.000Z,SPY,287.0,SPY190329C00287000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
317,SPY190329C00288000_20190204_10,0.38,0.37,2019-03-29,0.1113370117,0.42,2019-02-04 14:50:50,3624.0,2019-02-04T16:25:03.000Z,SPY,288.0,SPY190329C00288000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
318,SPY190329C00289000_20190204_10,0.33,0.31,2019-03-29,0.1124356335,0.31,2019-02-04 15:06:57,3722.0,2019-02-04T16:25:03.000Z,SPY,289.0,SPY190329C00289000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
319,SPY190329C00290000_20190204_10,0.27,0.26,2019-03-29,0.1120694263,0.29,2019-02-04 14:56:14,9282.0,2019-02-04T16:25:03.000Z,SPY,290.0,SPY190329C00290000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
320,SPY190329C00291000_20190204_10,0.23,0.21,2019-03-29,0.1126797717,0.23,2019-02-04 15:07:39,2483.0,2019-02-04T16:25:03.000Z,SPY,291.0,SPY190329C00291000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,12.0
321,SPY190329C00292000_20190204_10,0.2,0.18,2019-03-29,0.1137783936,0.19,2019-02-04 15:45:35,2511.0,2019-02-04T16:25:03.000Z,SPY,292.0,SPY190329C00292000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
322,SPY190329C00293000_20190204_10,0.17,0.16,2019-03-29,0.1145108081,0.19,2019-02-01 19:05:05,1891.0,2019-02-04T16:25:03.000Z,SPY,293.0,SPY190329C00293000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,7.0
323,SPY190329C00294000_20190204_10,0.15,0.14,2019-03-29,0.115731499,0.13,2019-01-23 19:46:31,8946.0,2019-02-04T16:25:03.000Z,SPY,294.0,SPY190329C00294000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,60.0
324,SPY190329C00295000_20190204_10,0.13,0.12,2019-03-29,0.1169521899,0.13,2019-02-01 20:19:39,4396.0,2019-02-04T16:25:03.000Z,SPY,295.0,SPY190329C00295000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,8.0
325,SPY190329C00300000_20190204_10,0.07,0.06,2019-03-29,0.1235439209,0.07,2019-02-01 19:14:33,11290.0,2019-02-04T16:25:03.000Z,SPY,300.0,SPY190329C00300000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,148.0
326,SPY190329C00305000_20190204_10,0.04,0.03,2019-03-29,0.13037979,0.04,2019-02-01 18:54:05,5544.0,2019-02-04T16:25:03.000Z,SPY,305.0,SPY190329C00305000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
327,SPY190329C00310000_20190204_10,0.03,0.02,2019-03-29,0.1406335938,0.02,2019-02-04 14:46:01,5708.0,2019-02-04T16:25:03.000Z,SPY,310.0,SPY190329C00310000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
328,SPY190329C00315000_20190204_10,0.02,0.01,2019-03-29,0.1484460156,0.01,2019-02-04 14:46:01,6750.0,2019-02-04T16:25:03.000Z,SPY,315.0,SPY190329C00315000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,15.0
329,SPY190329C00320000_20190204_10,0.02,0.01,2019-03-29,0.1621177539,0.02,2019-01-31 19:17:37,8348.0,2019-02-04T16:25:03.000Z,SPY,320.0,SPY190329C00320000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,20.0
330,SPY190329C00325000_20190204_10,0.01,0.0,2019-03-29,0.1640708594,0.02,2019-01-08 19:25:15,4199.0,2019-02-04T16:25:03.000Z,SPY,325.0,SPY190329C00325000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
331,SPY190329C00330000_20190204_10,0.01,0.0,2019-03-29,0.1757894922,0.01,2019-01-30 20:35:27,6542.0,2019-02-04T16:25:03.000Z,SPY,330.0,SPY190329C00330000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3998.0
332,SPY190329C00335000_20190204_10,0.01,0.0,2019-03-29,0.187508125,0.02,2018-12-18 14:56:32,1922.0,2019-02-04T16:25:03.000Z,SPY,335.0,SPY190329C00335000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
333,SPY190329C00340000_20190204_10,0.01,0.0,2019-03-29,0.1992267578,0.04,2018-12-04 16:42:22,1759.0,2019-02-04T16:25:03.000Z,SPY,340.0,SPY190329C00340000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
334,SPY190329C00345000_20190204_10,0.01,0.0,2019-03-29,0.2109453906,0.02,2018-12-10 19:21:26,74.0,2019-02-04T16:25:03.000Z,SPY,345.0,SPY190329C00345000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,25.0
78,SPY190628C00190000_20190204_10,81.68,81.31,2019-06-28,0.3530338135,74.34,2019-01-17 20:35:41,19.0,2019-02-04T16:25:07.000Z,SPY,190.0,SPY190628C00190000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
79,SPY190628C00195000_20190204_10,76.73,76.36,2019-06-28,0.3343572424,71.37,2018-11-23 16:59:59,90.0,2019-02-04T16:25:07.000Z,SPY,195.0,SPY190628C00195000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
80,SPY190628C00200000_20190204_10,71.87,71.51,2019-06-28,0.3206855042,71.69,2019-02-01 15:56:28,34.0,2019-02-04T16:25:07.000Z,SPY,200.0,SPY190628C00200000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
81,SPY190628C00205000_20190204_10,67.19,66.81,2019-06-28,0.314521015,53.66,2019-01-07 17:42:30,4.0,2019-02-04T16:25:07.000Z,SPY,205.0,SPY190628C00205000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
82,SPY190628C00210000_20190204_10,62.33,61.96,2019-06-28,0.2987130676,38.17,2018-12-27 15:33:34,19.0,2019-02-04T16:25:07.000Z,SPY,210.0,SPY190628C00210000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,20.0
83,SPY190628C00215000_20190204_10,57.68,57.24,2019-06-28,0.2901682312,38.37,2019-01-03 16:42:48,9.0,2019-02-04T16:25:07.000Z,SPY,215.0,SPY190628C00215000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
84,SPY190628C00220000_20190204_10,52.9,52.58,2019-06-28,0.2755199402,43.11,2019-01-09 17:51:24,12.0,2019-02-04T16:25:07.000Z,SPY,220.0,SPY190628C00220000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
85,SPY190628C00225000_20190204_10,48.15,47.81,2019-06-28,0.2608716492,40.72,2019-01-17 18:16:26,26.0,2019-02-04T16:25:07.000Z,SPY,225.0,SPY190628C00225000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
86,SPY190628C00226000_20190204_10,47.27,46.94,2019-06-28,0.2598950964,27.13,2019-01-03 20:40:49,10.0,2019-02-04T16:25:07.000Z,SPY,226.0,SPY190628C00226000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
87,SPY190628C00230000_20190204_10,43.62,43.26,2019-06-28,0.2513197427,40.34,2019-01-18 18:37:01,35.0,2019-02-04T16:25:07.000Z,SPY,230.0,SPY190628C00230000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
88,SPY190628C00232000_20190204_10,41.63,41.3,2019-06-28,0.2422561127,18.93,2018-12-24 15:10:42,5.0,2019-02-04T16:25:07.000Z,SPY,232.0,SPY190628C00232000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
89,SPY190628C00233000_20190204_10,40.81,40.46,2019-06-28,0.2422561127,25.5,2018-12-28 20:26:30,1.0,2019-02-04T16:25:07.000Z,SPY,233.0,SPY190628C00233000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
90,SPY190628C00235000_20190204_10,39.07,38.72,2019-06-28,0.2392654199,38.77,2019-01-31 17:19:15,45.0,2019-02-04T16:25:07.000Z,SPY,235.0,SPY190628C00235000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
91,SPY190628C00236000_20190204_10,38.09,37.76,2019-06-28,0.2349930017,25.12,2018-12-28 19:42:25,7.0,2019-02-04T16:25:07.000Z,SPY,236.0,SPY190628C00236000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
92,SPY190628C00237000_20190204_10,37.17,36.8,2019-06-28,0.2320633435,37.41,2019-02-01 16:47:47,25.0,2019-02-04T16:25:07.000Z,SPY,237.0,SPY190628C00237000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,9.0
93,SPY190628C00238000_20190204_10,36.34,36.07,2019-06-28,0.2312088599,18.15,2018-12-27 14:51:03,2.0,2019-02-04T16:25:07.000Z,SPY,238.0,SPY190628C00238000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
94,SPY190628C00239000_20190204_10,35.41,35.13,2019-06-28,0.2279740289,26.42,2019-01-14 18:13:40,1.0,2019-02-04T16:25:07.000Z,SPY,239.0,SPY190628C00239000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
95,SPY190628C00240000_20190204_10,34.45,34.11,2019-06-28,0.2239457489,31.42,2019-01-25 15:09:11,126.0,2019-02-04T16:25:07.000Z,SPY,240.0,SPY190628C00240000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
96,SPY190628C00241000_20190204_10,33.6,33.26,2019-06-28,0.2223588507,21.55,2019-01-04 20:44:19,16.0,2019-02-04T16:25:07.000Z,SPY,241.0,SPY190628C00241000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
97,SPY190628C00242000_20190204_10,32.77,32.5,2019-06-28,0.2210771252,32.65,2019-01-31 17:19:15,13.0,2019-02-04T16:25:07.000Z,SPY,242.0,SPY190628C00242000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
98,SPY190628C00243000_20190204_10,32.01,31.69,2019-06-28,0.2211381598,31.7,2019-01-31 17:07:14,2.0,2019-02-04T16:25:07.000Z,SPY,243.0,SPY190628C00243000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
99,SPY190628C00244000_20190204_10,31.11,30.79,2019-06-28,0.2181169498,31.72,2019-02-01 15:41:51,122.0,2019-02-04T16:25:07.000Z,SPY,244.0,SPY190628C00244000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
100,SPY190628C00245000_20190204_10,30.16,29.85,2019-06-28,0.2140276352,27.99,2019-01-18 17:14:57,232.0,2019-02-04T16:25:07.000Z,SPY,245.0,SPY190628C00245000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
101,SPY190628C00246000_20190204_10,29.31,29.02,2019-06-28,0.2118914261,18.02,2019-01-04 19:07:23,418.0,2019-02-04T16:25:07.000Z,SPY,246.0,SPY190628C00246000,Call,270.47,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
