,_id,ask,bid,expiration,impliedvolatility,lastprice,lasttradedate,openinterest,quotetime,ticker,strike,contractsymbol,type,underlying_price,updatedate,update_datetime,update_hour,updatetime,volume
55,SPY190322C00272500_20190204_09,0.0,0.0,2019-03-22,0.0078224219,4.24,2019-02-01 19:28:45,,2019-02-04T15:09:57.000Z,SPY,272.5,SPY190322C00272500,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,20.0
57,SPY190322C00275000_20190204_09,0.0,0.0,2019-03-22,0.0156348438,3.45,2019-02-01 16:39:45,0.0,2019-02-04T15:09:57.000Z,SPY,275.0,SPY190322C00275000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1.0
58,SPY190322C00276000_20190204_09,0.0,0.0,2019-03-22,0.0156348438,2.59,2019-02-01 20:16:50,0.0,2019-02-04T15:09:57.000Z,SPY,276.0,SPY190322C00276000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,4.0
59,SPY190322C00277000_20190204_09,0.0,0.0,2019-03-22,0.0156348438,2.29,2019-02-01 20:50:57,0.0,2019-02-04T15:09:57.000Z,SPY,277.0,SPY190322C00277000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1002.0
60,SPY190322C00278000_20190204_09,0.0,0.0,2019-03-22,0.0156348438,2.35,2019-02-01 15:33:01,0.0,2019-02-04T15:09:57.000Z,SPY,278.0,SPY190322C00278000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,20.0
61,SPY190322C00279000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,1.84,2019-02-01 18:38:48,,2019-02-04T15:09:57.000Z,SPY,279.0,SPY190322C00279000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,3.0
63,SPY190322C00280000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,1.42,2019-02-01 20:48:37,0.0,2019-02-04T15:09:57.000Z,SPY,280.0,SPY190322C00280000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,331.0
64,SPY190322C00282000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,1.01,2019-02-01 19:40:20,,2019-02-04T15:09:57.000Z,SPY,282.0,SPY190322C00282000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,17.0
65,SPY190322C00282500_20190204_09,0.0,0.0,2019-03-22,0.0312596875,1.09,2019-02-01 15:54:06,0.0,2019-02-04T15:09:57.000Z,SPY,282.5,SPY190322C00282500,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,8.0
67,SPY190322C00285000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,0.71,2019-01-31 21:14:47,0.0,2019-02-04T15:09:57.000Z,SPY,285.0,SPY190322C00285000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,
68,SPY190322C00286000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,0.46,2019-02-01 20:16:50,,2019-02-04T15:09:57.000Z,SPY,286.0,SPY190322C00286000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,8.0
69,SPY190322C00287000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,0.41,2019-02-01 19:09:06,,2019-02-04T15:09:57.000Z,SPY,287.0,SPY190322C00287000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,3.0
70,SPY190322C00287500_20190204_09,0.0,0.0,2019-03-22,0.0312596875,0.36,2019-02-01 19:09:06,,2019-02-04T15:09:57.000Z,SPY,287.5,SPY190322C00287500,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,3.0
71,SPY190322C00288000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,0.38,2019-02-01 14:45:00,,2019-02-04T15:09:57.000Z,SPY,288.0,SPY190322C00288000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,5.0
72,SPY190322C00289000_20190204_09,0.0,0.0,2019-03-22,0.0312596875,0.31,2019-02-01 14:38:05,,2019-02-04T15:09:57.000Z,SPY,289.0,SPY190322C00289000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1.0
74,SPY190322C00290000_20190204_09,0.0,0.0,2019-03-22,0.062509375,0.28,2019-01-31 18:53:08,0.0,2019-02-04T15:09:57.000Z,SPY,290.0,SPY190322C00290000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,
75,SPY190322C00292500_20190204_09,0.0,0.0,2019-03-22,0.062509375,0.19,2019-02-01 15:24:55,,2019-02-04T15:09:57.000Z,SPY,292.5,SPY190322C00292500,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,2.0
76,SPY190322C00300000_20190204_09,0.0,0.0,2019-03-22,0.062509375,0.07,2019-01-31 17:27:10,0.0,2019-02-04T15:09:57.000Z,SPY,300.0,SPY190322C00300000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,
162,SPY190204C00110000_20190204_10,160.67,160.34,2019-02-04,5.6250029687,140.55,2019-01-02 16:19:58,58.0,2019-02-04T16:25:01.000Z,SPY,110.0,SPY190204C00110000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,58.0
187,SPY190204C00215000_20190204_10,55.57,55.21,2019-02-04,1.8828130859,33.13,2019-01-03 14:49:42,0.0,2019-02-04T16:25:01.000Z,SPY,215.0,SPY190204C00215000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
207,SPY190204C00235000_20190204_10,35.58,35.24,2019-02-04,1.2460975195,25.56,2019-01-15 18:16:53,2.0,2019-02-04T16:25:01.000Z,SPY,235.0,SPY190204C00235000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
211,SPY190204C00238000_20190204_10,32.47,32.21,2019-02-04,1e-05,22.64,2019-01-15 18:18:13,6.0,2019-02-04T16:25:01.000Z,SPY,238.0,SPY190204C00238000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
213,SPY190204C00239000_20190204_10,31.54,31.24,2019-02-04,1.0273486133,31.64,2019-02-01 17:17:38,6.0,2019-02-04T16:25:01.000Z,SPY,239.0,SPY190204C00239000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
215,SPY190204C00240000_20190204_10,30.66,30.34,2019-02-04,0.8281267187,29.25,2019-01-31 16:01:37,65.0,2019-02-04T16:25:01.000Z,SPY,240.0,SPY190204C00240000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,12.0
219,SPY190204C00243000_20190204_10,27.7,27.35,2019-02-04,0.8671888281,22.12,2019-01-30 14:37:36,3.0,2019-02-04T16:25:01.000Z,SPY,243.0,SPY190204C00243000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
221,SPY190204C00244000_20190204_10,26.57,26.25,2019-02-04,0.9335944141,19.17,2019-01-29 16:24:06,16.0,2019-02-04T16:25:01.000Z,SPY,244.0,SPY190204C00244000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,7.0
223,SPY190204C00245000_20190204_10,25.54,25.24,2019-02-04,0.8437515625,25.2,2019-02-04 14:51:47,1082.0,2019-02-04T16:25:01.000Z,SPY,245.0,SPY190204C00245000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,197.0
