Date,Open,High,Low,Close,Adj Close,Volume
2016-12-22,225.6,225.74,-5,1.0,1.0,56219100
2016-12-23,225.43,225.72,-5,1.0,1.0,36697800
2016-12-27,226.02,226.73,-5,1.0,1.0,42672500
2016-12-28,226.57,226.59,-5,1.0,1.0,64095000
2016-12-29,224.48,224.89,-5,1.0,1.0,48696100
2016-12-30,224.73,224.83,-5,1.0,1.0,108998300
2017-01-03,225.04,225.83,-5,1.0,1.0,91366500
2017-01-04,225.62,226.75,-5,1.0,1.0,78744400
2017-01-05,226.27,226.58,-5,1.0,1.0,78379000
2017-01-06,226.53,227.75,-5,1.0,1.0,71559900
2017-01-09,226.91,227.07,-5,1.0,1.0,46939700
2017-01-10,226.48,227.45,-5,1.0,1.0,63771900
2017-01-11,226.36,227.1,-5,1.0,1.0,74650000
2017-01-12,226.5,226.75,-5,1.0,1.0,72113200
2017-01-13,226.73,227.4,-5,1.0,1.0,62717900
2017-01-17,226.31,226.78,-5,1.0,1.0,61240800
2017-01-18,226.54,226.8,-5,1.0,1.0,54793300
2017-01-19,226.84,227.0,-5,1.0,1.0,66608800
2017-01-20,226.7,227.31,-5,1.0,1.0,129168600
2017-01-23,226.74,226.81,-5,1.0,1.0,75061600
2017-01-24,226.4,228.08,-5,1.0,1.0,95555300
2017-01-25,228.7,229.57,-5,1.0,1.0,84437700
2017-01-26,229.4,229.71,-5,1.0,1.0,59970700
2017-01-27,229.42,229.59,-5,1.0,1.0,59711100
2017-01-30,228.17,228.2,-5,1.0,1.0,79737300
2017-01-31,226.98,227.6,-5,1.0,1.0,75880800
2017-02-01,227.53,228.59,-5,1.0,1.0,79117700
2017-02-02,227.62,228.1,-5,1.0,1.0,69657600
2017-02-03,228.82,229.55,-5,1.0,1.0,80563200
2017-02-06,228.87,229.33,-5,1.0,1.0,57790100
2017-02-07,229.38,229.66,-5,1.0,1.0,57931200
2017-02-08,228.94,229.39,-5,1.0,1.0,51566200
2017-02-09,229.24,230.95,-5,1.0,1.0,65955200
2017-02-10,231.0,231.77,-5,1.0,1.0,66015900
2017-02-13,232.08,233.07,-5,1.0,1.0,55182100
2017-02-14,232.56,233.71,-5,1.0,1.0,71109000
2017-02-15,233.45,235.14,-5,1.0,1.0,86785800
2017-02-16,234.95,235.16,-5,1.0,1.0,84722400
2017-02-17,233.95,235.09,-5,1.0,1.0,77204100
2017-02-21,235.52,236.69,-5,1.0,1.0,88946100
2017-02-22,236.02,236.54,-5,1.0,1.0,62115200
2017-02-23,236.88,236.9,-5,1.0,1.0,74615900
2017-02-24,235.46,236.79,-5,1.0,1.0,82381600
2017-02-27,236.64,237.31,-5,1.0,1.0,56515400
2017-02-28,236.67,236.95,-5,1.0,1.0,96961900
2017-03-01,238.39,240.32,-5,1.0,1.0,149158200
2017-03-02,239.56,239.57,-5,1.0,1.0,70246000
2017-03-03,238.17,238.61,-5,1.0,1.0,81974300
2017-03-06,237.5,238.12,-5,1.0,1.0,55391500
2017-03-07,237.36,237.77,-5,1.0,1.0,65103700
2017-03-08,237.34,237.64,-5,1.0,1.0,78168800
2017-03-09,236.7,237.24,-5,1.0,1.0,90683900
2017-03-10,237.97,238.02,-5,1.0,1.0,81991700
2017-03-13,237.62,237.86,-5,1.0,1.0,57256800
2017-03-14,237.18,237.24,-5,1.0,1.0,59880800
2017-03-15,237.56,239.44,-5,1.0,1.0,96081800
2017-03-16,239.11,239.2,-5,1.0,1.0,78344000
2017-03-17,237.75,237.97,-5,1.0,1.0,89002100
2017-03-20,237.03,237.36,-5,1.0,1.0,52537000
2017-03-21,237.47,237.61,-5,1.0,1.0,131809300
2017-03-22,233.77,234.61,-5,1.0,1.0,97569200
2017-03-23,234.28,235.34,-5,1.0,1.0,100410300
2017-03-24,234.38,235.04,-5,1.0,1.0,112504900
2017-03-27,231.93,233.92,-5,1.0,1.0,87454500
2017-03-28,233.27,235.81,-5,1.0,1.0,93483900
2017-03-29,234.99,235.81,-5,1.0,1.0,61950400
2017-03-30,235.47,236.52,-5,1.0,1.0,56737900
2017-03-31,235.9,236.51,-5,1.0,1.0,73733100
2017-04-03,235.8,236.03,-5,1.0,1.0,85546500
2017-04-04,235.0,235.58,-5,1.0,1.0,56466200
2017-04-05,236.26,237.39,-5,1.0,1.0,108800600
2017-04-06,234.94,236.04,-5,1.0,1.0,69135800
2017-04-07,235.15,236.0,-5,1.0,1.0,74412300
2017-04-10,235.36,236.26,-5,1.0,1.0,67615300
2017-04-11,234.9,235.18,-5,1.0,1.0,88045300
2017-04-12,234.74,234.96,-5,1.0,1.0,81864400
2017-04-13,233.64,234.49,-5,1.0,1.0,92880400
2017-04-17,233.11,234.57,-5,1.0,1.0,68405400
2017-04-18,233.72,234.49,-5,1.0,1.0,83225800
