name,probability,correl,state_0_mean,state_1_mean,state_2_mean,state_0_next_mean,state_1_next_mean,state_2_next_mean,pca_n_components,k_features,features
clammy-ecru-affenpinscher,47.8230769617445,0.974953285987248,-1.51175289029198,0.124269988269611,0.80027287243854,-0.14919399026604,0.0726836275378214,0.0870904432329806,13,3,"['return', 'macdfix_hist', 'linearreg_slope', '1_day_change']"
ugly-orchid-eagle,2.97439004373252,0.927184573355581,-0.0620558578335199,-0.0149475061171834,0.102996854766676,-0.0114747798728576,0.0311917961890106,0.0701616700234451,7,6,"['return', 'macd_signal', 'macdfix', 'natr', 'rocp', 'stoch_slowk', 'macd']"
wheezy-apricot-badger,0.24703533703877,0.99355581145966,-0.165811774393292,0.0658807688698715,0.133777690869359,0.00440186894222432,0.0593720998787732,0.0650575716914549,10,5,"['return', 'stoch_slowk', 'minus_di', 'volume', 'cmo', 'dx']"
flabby-charcoal-wrasse,31.8872939312865,0.997572466609219,-1.07140640504515,0.0925103234204531,0.921832067692041,-0.0313255946178894,0.0569688960851172,0.104128687597934,5,3,"['return', 'trange', '1_day_change', 'minus_di']"
lumpy-champagne-peccary,16.6596612444474,0.951040513205691,-1.25862121116773,0.122128788933241,1.01060252462598,-0.101787346054977,0.0716068257316464,0.0872074425898509,9,4,"['return', 'apo', 'stochf_fastd', 'rocr100', '1_day_change']"
gimpy-cinnamon-wildebeest,1.93748662593442,0.999946043351558,-0.540080723852621,0.122391713875064,0.381780069223198,-0.0874628949096524,0.0669628489345667,0.127452193546994,3,4,"['return', 'cmo', 'rsi', 'stochf_fastk', '1_day_change']"
nerdy-seashell-loon,0.000582726348119229,0.995602924333056,-0.264112187752979,0.083721653246532,0.147442286504254,-0.094435726105802,0.057552362972049,0.10401634874772,10,10,"['return', 'adosc', 'var', 'rsi', 'macd_hist', 'linearreg_slope', 'rocr100', 'intraday_change', 'ht_phasor_inphase', 'stochf_fastd', 'bop']"
clammy-chartreuse-duck,3.16262888537088e-56,0.999991398285689,-0.227494998119035,0.109038330646663,0.168320159971048,0.00485507831674593,0.0601479792534344,0.0695659399075192,11,12,"['return', 'var', 'cmo', 'ultosc', 'stochrsi_fastd', 'beta', 'rsi', 'mom', 'ma', 'rocr', 'minus_dm', 'plus_dm', 'close']"
ready-bistre-tarsier,0.0488315810348948,-0.391644443683247,-0.0621507308705625,0.0803115947048196,0.106590859715404,0.0563724744445244,0.0371115995086037,0.0561984883153737,6,12,"['return', 'roc', 'ht_dcphase', 'rocr100', 'stochf_fastk', 'stoch_slowk', 'rocr', 'ultosc', 'aroon_down', 'rocp', 'intraday_change', 'adosc', 'cmo']"
wiggy-peach-wasp,0.0146556438276754,0.995024604742614,-0.00572335434063233,0.0157046070849561,0.127335737578305,0.0255607405632162,0.043418013508456,0.0808034877398628,5,8,"['return', 'stochf_fastk', 'ultosc', 'macd_hist', 'adxr', 'stddev', 'willr', 'cmo', 'atr']"
